Wall time,Step,Value
1715580961.0694652,2500,0.0
1715580987.9586911,5000,0.020453378558158875
1715581013.9570801,7500,0.0
1715581040.507176,10000,0.0
1715581066.882165,12500,0.0
1715581097.464926,15000,0.0
1715581125.9387882,17500,0.0
1715581152.513928,20000,8.22343635559082
1715581180.1732638,22500,15.122739791870117
1715581205.6717708,25000,48.992431640625
1715581234.281792,27500,30.261667251586914
1715581260.078793,30000,81.54191589355469
1715581286.2164009,32500,267.887939453125
1715581311.1677718,35000,209.1427001953125
1715581337.053489,37500,423.011962890625
1715581364.890076,40000,306.1344909667969
1715581391.0263638,42500,362.3115539550781
1715581416.92668,45000,206.20721435546875
1715581442.791208,47500,474.8759765625
1715581468.607008,50000,230.85487365722656
1715581497.6058502,52500,227.04063415527344
1715581523.385725,55000,562.6932983398438
1715581549.199289,57500,571.7691650390625
1715581575.096917,60000,640.9510498046875
1715581600.750529,62500,819.5829467773438
1715581628.726284,65000,688.0158081054688
1715581654.3891141,67500,1017.75048828125
1715581680.04702,70000,872.7034912109375
1715581705.705156,72500,1047.591064453125
1715581731.251812,75000,1238.7674560546875
1715581759.2297869,77500,1374.1177978515625
1715581785.710423,80000,1570.7867431640625
1715581812.450646,82500,1672.502197265625
1715581837.1869571,85000,1140.4638671875
1715581862.985258,87500,1638.8255615234375
1715581891.067332,90000,1491.7384033203125
1715581917.690146,92500,1738.4456787109375
1715581943.434815,95000,1479.555419921875
1715581969.416501,97500,1812.5220947265625
1715581995.188861,100000,1185.380859375
