Wall time,Step,Value
1715640620.271232,2500,0.0
1715640656.246697,5000,0.0
1715640688.53232,7500,0.0
1715640719.9668941,10000,0.0
1715640750.90651,12500,0.0
1715640790.946166,15000,0.0
1715640821.3492448,17500,0.0
1715640853.230956,20000,0.0
1715640885.71183,22500,0.25
1715640917.8605509,25000,0.0
1715640958.6120079,27500,0.0
1715640989.784904,30000,0.0
1715641021.324118,32500,0.0
1715641051.3381,35000,0.0
1715641083.7502131,37500,0.0
1715641121.167014,40000,0.0
1715641150.9958851,42500,0.0
1715641184.013567,45000,0.0
1715641213.575397,47500,0.0
1715641243.7273679,50000,0.0
1715641281.4880068,52500,0.0
1715641313.398547,55000,0.0
1715641344.35334,57500,0.0
1715641375.661982,60000,0.0
1715641405.971009,62500,0.0
1715641438.8558562,65000,0.0
1715641480.1787908,67500,0.0
1715641511.3030028,70000,0.0
1715641544.0986362,72500,0.0
1715641579.637132,75000,0.0
1715641613.881082,77500,0.0
1715641655.862838,80000,0.0
1715641689.209405,82500,0.0
1715641720.946404,85000,0.0
1715641753.372119,87500,0.0
1715641785.289015,90000,0.0
1715641823.5728178,92500,0.0
1715641856.7894368,95000,0.0
1715641889.046418,97500,0.0
1715641919.324351,100000,0.0
1715641952.8280609,102500,0.0
1715641991.395786,105000,0.0
1715642020.428432,107500,0.0
1715642053.4103382,110000,0.25
1715642086.299069,112500,0.0
1715642119.2211158,115000,0.0
1715642151.286031,117500,0.0
1715642190.7784598,120000,0.0
1715642221.2043679,122500,0.0
1715642258.081365,125000,0.0
1715642291.042324,127500,0.0
1715642322.9683719,130000,0.0
1715642360.1691399,132500,0.0
1715642391.903209,135000,0.0
1715642424.942113,137500,0.0
1715642455.6239629,140000,0.0
1715642486.0671139,142500,0.0
1715642524.733909,145000,0.0
1715642555.298739,147500,0.0
1715642585.811278,150000,0.0
1715642616.486889,152500,0.0
1715642648.7872,155000,0.0
1715642686.737739,157500,0.0
1715642718.926629,160000,0.0
1715642751.767033,162500,0.0
1715642783.4080372,165000,0.0
1715642814.805949,167500,0.0
1715642846.663521,170000,0.0
1715642886.6863732,172500,0.0
1715642918.229629,175000,0.0
1715642948.797529,177500,0.0
1715642979.349736,180000,0.0
1715643009.908832,182500,0.0
1715643046.818136,185000,0.0
1715643079.112784,187500,0.0
1715643112.94694,190000,0.0
1715643146.376841,192500,0.0
1715643179.674046,195000,0.0
1715643221.266876,197500,0.0
1715643252.6120598,200000,0.0
1715643281.779706,202500,0.0
1715643312.566893,205000,0.0
1715643345.916088,207500,0.0
1715643383.584534,210000,0.0
1715643414.2518332,212500,0.0
1715643449.2990022,215000,0.0
1715643484.0052211,217500,0.0
1715643517.789801,220000,0.0
1715643549.601543,222500,0.0
1715643592.375638,225000,0.0
1715643624.738313,227500,0.0
1715643658.7196958,230000,0.0
1715643690.493393,232500,0.0
1715643723.893205,235000,0.0
1715643764.883615,237500,0.0
1715643796.181092,240000,0.0
1715643827.525523,242500,0.0
1715643858.07253,245000,0.0
1715643890.395929,247500,0.0
1715643930.9342232,250000,0.0
1715643963.851561,252500,0.0
1715643996.018181,255000,0.0
1715644027.6507268,257500,0.0
1715644060.18508,260000,0.0
1715644098.728897,262500,0.0
1715644130.622219,265000,0.0
1715644161.843165,267500,0.0
1715644192.86714,270000,0.0
1715644224.1664581,272500,0.0
1715644255.253249,275000,0.0
1715644295.39392,277500,0.0
1715644327.009381,280000,0.0
1715644358.958171,282500,0.0
1715644391.243627,285000,0.0
1715644424.304184,287500,0.0
1715644466.02631,290000,0.0
1715644497.94542,292500,0.0
1715644530.816958,295000,0.0
1715644563.4501472,297500,0.0
1715644594.595562,300000,0.0
1715644635.759085,302500,0.0
1715644669.1113338,305000,0.0
1715644702.9374201,307500,0.0
1715644735.769501,310000,0.0
1715644767.4967868,312500,0.0
1715644807.077652,315000,0.0
1715644842.069634,317500,0.0
1715644872.905405,320000,0.25
1715644902.46194,322500,0.0
1715644933.282315,325000,0.0
1715644965.6108868,327500,0.0
1715645002.904706,330000,0.0
1715645033.6791942,332500,0.0
1715645066.051508,335000,0.0
1715645101.268023,337500,0.0
1715645133.301814,340000,0.0
1715645175.400813,342500,0.0
1715645206.066112,345000,0.0
1715645238.310772,347500,0.0
1715645268.4958148,350000,0.0
1715645300.9612439,352500,0.25
1715645340.502314,355000,0.0
1715645372.587132,357500,0.0
1715645403.582058,360000,0.0
1715645435.947736,362500,0.0
1715645468.07349,365000,0.0
1715645509.567381,367500,0.0
1715645541.353073,370000,0.0
1715645573.563742,372500,0.0
1715645605.0674,375000,0.0
1715645635.699836,377500,0.0
1715645667.5538912,380000,0.0
1715645705.9273758,382500,0.0
1715645739.683077,385000,0.0
1715645775.3782809,387500,0.0
1715645809.8049579,390000,0.0
1715645846.4759848,392500,0.0
1715645887.619327,395000,0.0
1715645919.1617332,397500,0.20000000298023224
1715645951.977844,400000,0.0
1715645986.464671,402500,0.0
1715646018.1894689,405000,0.0
1715646056.8784451,407500,0.0
1715646089.607799,410000,0.0
1715646129.248492,412500,0.20000000298023224
1715646164.247562,415000,0.25
1715646201.750922,417500,0.0
1715646249.990119,420000,0.0
1715646283.070505,422500,0.0
1715646316.66928,425000,0.0
1715646351.070239,427500,0.0
1715646384.383153,430000,0.0
1715646417.744262,432500,0.0
1715646462.77296,435000,0.0
1715646495.214428,437500,0.0
1715646527.7512991,440000,0.0
1715646560.974426,442500,0.0
1715646592.509929,445000,0.0
1715646631.936485,447500,0.0
1715646664.361442,450000,0.0
1715646696.043311,452500,0.0
1715646729.2323468,455000,0.0
1715646762.6271412,457500,0.0
1715646801.896924,460000,0.0
1715646833.118892,462500,0.0
1715646864.197089,465000,0.0
1715646895.527492,467500,0.0
1715646927.928204,470000,0.0
1715646966.409068,472500,0.0
1715646998.44289,475000,0.0
1715647030.974634,477500,0.0
1715647063.709162,480000,0.0
1715647098.577452,482500,0.0
1715647129.839381,485000,0.0
1715647168.275601,487500,0.0
1715647200.052505,490000,0.0
