Wall time,Step,Value
1715654589.304568,2500,0.0
1715654621.068171,5000,0.25
1715654655.958901,7500,0.0
1715654690.239022,10000,0.0
1715654722.272373,12500,0.0
1715654766.559964,15000,0.0
1715654803.022629,17500,0.0
1715654838.256224,20000,0.0
1715654871.8595772,22500,0.0
1715654903.0551198,25000,0.0
1715654939.920565,27500,0.0
1715654975.1433978,30000,0.0
1715655008.527206,32500,0.0
1715655043.341655,35000,0.0
1715655074.678794,37500,0.0
1715655112.177143,40000,0.0
1715655146.120746,42500,0.0
1715655177.2820108,45000,0.0
1715655207.893074,47500,0.0
1715655239.089996,50000,0.0
1715655288.719607,52500,0.0
1715655318.674171,55000,0.0
1715655348.143275,57500,0.0
1715655378.033526,60000,0.0
1715655407.325332,62500,0.0
1715655436.655776,65000,0.0
1715655472.6936011,67500,0.0
1715655502.832223,70000,0.0
1715655532.246578,72500,0.0
1715655561.883946,75000,0.0
1715655591.869096,77500,0.0
1715655627.9852679,80000,0.0
1715655657.303498,82500,0.0
1715655687.191404,85000,0.25
1715655716.9417741,87500,0.0
1715655746.4584599,90000,0.0
1715655782.6199439,92500,0.0
1715655812.66316,95000,0.0
1715655842.3354769,97500,0.0
1715655871.780685,100000,0.0
1715655901.9420002,102500,0.0
1715655938.0976288,105000,0.0
1715655969.05136,107500,0.0
1715655998.762795,110000,0.0
1715656028.8620522,112500,0.0
1715656058.636249,115000,0.0
1715656088.087399,117500,0.0
1715656124.7230458,120000,0.0
1715656154.484805,122500,0.0
1715656184.009637,125000,0.0
1715656213.718393,127500,0.0
1715656243.806386,130000,0.0
1715656279.991662,132500,0.0
1715656309.674398,135000,0.0
1715656339.865431,137500,0.0
1715656369.532555,140000,0.0
1715656399.333707,142500,0.0
1715656445.22666,145000,0.0
1715656476.426369,147500,0.0
1715656506.123531,150000,0.0
1715656536.2332082,152500,0.0
1715656566.871424,155000,0.0
1715656602.2446332,157500,0.0
1715656630.993835,160000,0.0
1715656660.3979468,162500,0.0
1715656693.128903,165000,0.0
1715656723.643848,167500,0.0
1715656753.635871,170000,0.0
1715656791.6224792,172500,0.0
1715656823.300531,175000,0.0
1715656853.7512,177500,0.0
1715656883.627191,180000,0.0
1715656915.169108,182500,0.0
1715656954.905965,185000,0.0
1715656988.495185,187500,0.0
1715657021.4232361,190000,0.0
1715657055.251298,192500,0.0
1715657087.365116,195000,0.0
1715657124.216531,197500,0.0
1715657157.417422,200000,0.0
1715657187.736693,202500,0.0
1715657217.7899861,205000,0.0
1715657252.205487,207500,0.0
1715657291.200442,210000,0.0
1715657322.5864651,212500,0.0
1715657353.454956,215000,0.0
1715657383.996159,217500,0.0
1715657415.4342499,220000,0.0
1715657446.279885,222500,0.0
1715657484.335385,225000,0.0
1715657516.3108401,227500,0.0
1715657548.9568949,230000,0.0
1715657580.563355,232500,0.0
1715657611.860935,235000,0.0
1715657648.6090481,237500,0.0
1715657682.259574,240000,0.0
1715657715.632256,242500,0.0
1715657747.1879559,245000,0.0
1715657778.598047,247500,0.0
1715657818.035243,250000,0.0
1715657849.7530181,252500,0.0
1715657880.7859368,255000,0.0
1715657911.887399,257500,0.0
1715657942.5154781,260000,0.0
1715657979.613987,262500,0.0
1715658009.462688,265000,0.0
1715658039.238997,267500,0.0
1715658070.947327,270000,0.0
1715658101.919056,272500,0.0
1715658134.799074,275000,0.0
1715658176.833952,277500,0.0
1715658209.8373802,280000,0.0
1715658241.282162,282500,0.0
1715658273.658417,285000,0.0
1715658306.400845,287500,0.0
1715658343.800684,290000,0.0
1715658374.871053,292500,0.0
1715658410.085593,295000,0.0
1715658444.231551,297500,0.0
1715658476.2756438,300000,0.0
1715658516.237859,302500,0.0
1715658549.57568,305000,0.0
1715658581.2966468,307500,0.0
1715658613.649865,310000,0.0
1715658645.02654,312500,0.0
1715658683.949961,315000,0.20000000298023224
1715658714.855961,317500,0.0
1715658745.969001,320000,0.0
1715658778.4729412,322500,0.0
1715658809.495821,325000,0.0
1715658840.147669,327500,0.0
1715658879.354506,330000,0.0
1715658914.186084,332500,0.0
1715658947.954375,335000,0.0
1715658980.718813,337500,0.0
1715659013.476342,340000,0.0
1715659053.035519,342500,0.0
1715659087.373518,345000,0.25
1715659123.050545,347500,0.0
1715659155.306839,350000,0.0
1715659186.385602,352500,0.25
1715659227.107527,355000,0.0
1715659259.191591,357500,0.0
1715659292.3988311,360000,0.0
1715659324.9631622,362500,0.0
1715659357.560464,365000,0.0
1715659396.688622,367500,0.25
1715659429.210049,370000,0.0
1715659460.0244899,372500,0.0
1715659491.241305,375000,0.0
1715659523.756851,377500,0.0
1715659557.389801,380000,0.0
1715659597.20591,382500,0.0
1715659629.77848,385000,0.0
1715659664.1442492,387500,0.0
1715659698.142145,390000,0.0
1715659729.979639,392500,0.0
1715659769.137917,395000,0.0
1715659803.124929,397500,0.20000000298023224
1715659836.06103,400000,0.0
1715659872.0378509,402500,0.0
1715659904.968839,405000,0.0
1715659941.90555,407500,0.0
1715659972.1262,410000,0.0
1715660005.054816,412500,0.0
1715660040.435552,415000,0.25
1715660074.59955,417500,0.0
1715660117.8382668,420000,0.0
1715660154.733109,422500,0.25
1715660188.7655418,425000,0.0
1715660222.430994,427500,0.0
1715660255.282361,430000,0.0
1715660289.049602,432500,0.0
1715660332.203611,435000,0.0
1715660367.9887471,437500,0.0
1715660400.1915,440000,0.25
1715660432.2116559,442500,0.0
1715660466.281062,445000,0.0
1715660507.801313,447500,0.0
1715660538.6505861,450000,0.0
1715660571.695202,452500,0.0
1715660603.6780732,455000,0.0
1715660634.388583,457500,0.0
1715660671.9684072,460000,0.3333333432674408
1715660703.376729,462500,0.0
1715660733.8258219,465000,0.0
1715660767.078681,467500,0.0
1715660799.468931,470000,0.0
1715660839.332858,472500,0.0
1715660870.5981052,475000,0.25
1715660906.083544,477500,0.0
1715660937.522662,480000,0.0
1715660969.2082582,482500,0.0
1715661008.613725,485000,0.0
1715661039.978977,487500,0.0
1715661072.011992,490000,0.0
1715661104.092811,492500,0.0
1715661136.330824,495000,0.0
1715661168.089272,497500,0.0
1715661207.931999,500000,0.0
