Wall time,Step,Value
1715579140.356458,2500,1.2358084917068481
1715579167.280704,5000,0.0
1715579194.016834,7500,0.0
1715579221.579378,10000,20.347414016723633
1715579249.257731,12500,1.4909065961837769
1715579278.5682502,15000,7.845682144165039
1715579305.6969962,17500,0.0
1715579333.706662,20000,10.986515998840332
1715579360.7896981,22500,0.0
1715579387.674356,25000,0.06072951853275299
1715579417.9772842,27500,0.6021779179573059
1715579449.818367,30000,10.651772499084473
1715579481.6984599,32500,6.187223434448242
1715579509.3785212,35000,14.317132949829102
1715579536.532688,37500,3.1940691471099854
1715579565.349298,40000,48.33997344970703
1715579591.026679,42500,18.6047306060791
1715579616.496078,45000,8.907564163208008
1715579643.3199549,47500,38.90262222290039
1715579668.6997912,50000,16.044492721557617
1715579697.065821,52500,18.093822479248047
1715579722.507051,55000,53.595699310302734
1715579749.005362,57500,10.31493854522705
1715579775.370946,60000,94.51420593261719
1715579803.947648,62500,130.094970703125
1715579833.842887,65000,153.74362182617188
1715579863.4778838,67500,365.0926208496094
1715579889.829432,70000,201.02923583984375
1715579916.863961,72500,271.58599853515625
1715579944.245916,75000,268.9498596191406
1715579969.757387,77500,274.81939697265625
1715579997.817305,80000,284.98406982421875
1715580024.678944,82500,206.78318786621094
1715580050.878345,85000,306.00408935546875
1715580076.622766,87500,348.1879577636719
1715580108.5172591,90000,302.9970397949219
1715580137.175746,92500,354.7751159667969
1715580162.815091,95000,509.2264709472656
1715580189.683178,97500,242.5956268310547
1715580216.122326,100000,442.9776306152344
