Wall time,Step,Value
1715633184.171197,2500,0.0
1715633212.090726,5000,0.0
1715633237.4793432,7500,0.0
1715633266.934846,10000,0.0
1715633297.583897,12500,0.0
1715633326.039999,15000,0.0
1715633358.0840802,17500,0.0
1715633384.894766,20000,0.0
1715633412.521579,22500,0.0
1715633441.682873,25000,0.0
1715633473.413118,27500,0.0
1715633500.8354409,30000,0.0
1715633528.977831,32500,0.0
1715633555.494852,35000,0.0
1715633583.4815822,37500,0.0
1715633612.3930528,40000,0.0
1715633639.6778119,42500,0.25
1715633667.224573,45000,0.0
1715633694.0994718,47500,0.0
1715633720.95864,50000,0.25
1715633751.050737,52500,0.0
1715633778.309751,55000,0.0
1715633805.1770802,57500,0.3333333432674408
1715633832.503932,60000,0.0
1715633860.7187688,62500,0.0
1715633888.2748108,65000,0.0
1715633917.753848,67500,0.0
1715633945.262423,70000,0.0
1715633972.137418,72500,0.0
1715633998.340811,75000,0.0
1715634026.217806,77500,0.0
1715634058.339205,80000,0.0
1715634086.527683,82500,0.0
1715634114.81626,85000,0.0
1715634145.981973,87500,0.0
1715634173.78494,90000,0.0
1715634203.452464,92500,0.0
1715634231.090071,95000,0.0
1715634257.6757162,97500,0.0
1715634284.4724631,100000,0.0
1715634310.94947,102500,0.0
1715634340.913728,105000,0.0
1715634369.063446,107500,0.0
1715634395.269936,110000,0.0
1715634422.7774131,112500,0.0
1715634449.42881,115000,0.0
1715634476.587462,117500,0.0
1715634508.265744,120000,0.0
1715634535.446572,122500,0.0
1715634561.5307782,125000,0.0
1715634588.065012,127500,0.0
1715634615.231903,130000,0.0
1715634644.496429,132500,0.0
1715634670.581855,135000,0.0
1715634698.1557739,137500,0.0
1715634725.5972228,140000,0.0
1715634752.0303638,142500,0.20000000298023224
1715634782.5991511,145000,0.0
1715634809.5196512,147500,0.0
1715634835.40803,150000,0.0
1715634863.497647,152500,0.20000000298023224
1715634890.093568,155000,0.0
1715634920.129733,157500,0.0
1715634949.902904,160000,0.0
1715634980.062885,162500,0.0
1715635007.2282119,165000,0.0
1715635035.064487,167500,0.0
1715635062.636878,170000,0.0
1715635091.992838,172500,0.25
1715635118.9202828,175000,0.0
1715635145.762849,177500,0.0
1715635172.0878668,180000,0.0
1715635199.407889,182500,0.0
1715635229.2049322,185000,0.4000000059604645
1715635256.08782,187500,0.0
1715635283.150988,190000,0.0
1715635310.5478458,192500,0.0
1715635336.3674638,195000,0.0
1715635365.3460102,197500,0.5
1715635391.570702,200000,0.0
1715635420.398325,202500,0.20000000298023224
1715635447.519457,205000,0.0
1715635477.562208,207500,0.0
1715635508.867719,210000,0.25
1715635536.296648,212500,0.0
1715635563.1390872,215000,0.0
1715635589.599775,217500,0.0
1715635616.48769,220000,0.0
1715635646.530147,222500,0.25
1715635673.095715,225000,0.0
1715635699.841992,227500,0.25
1715635729.83826,230000,0.0
1715635757.7343519,232500,0.3333333432674408
1715635784.113083,235000,0.25
1715635814.0086389,237500,0.20000000298023224
1715635841.004069,240000,0.0
1715635868.186809,242500,0.25
1715635894.4258702,245000,0.20000000298023224
1715635921.4335942,247500,0.0
1715635951.2570539,250000,0.20000000298023224
1715635978.843489,252500,0.0
1715636005.1852758,255000,0.0
1715636031.396707,257500,0.4000000059604645
1715636058.508791,260000,0.25
1715636087.6935098,262500,0.0
1715636114.9087412,265000,0.20000000298023224
1715636143.8275042,267500,0.0
1715636171.5731149,270000,0.0
1715636197.9118059,272500,0.0
1715636226.8640141,275000,0.0
1715636253.7814138,277500,0.0
1715636282.2750888,280000,0.25
1715636310.1119301,282500,0.4000000059604645
1715636337.242372,285000,0.25
1715636366.5063,287500,0.4000000059604645
1715636393.452087,290000,0.0
1715636420.2871628,292500,0.0
1715636448.208259,295000,0.25
1715636475.045751,297500,0.0
1715636505.140342,300000,0.25
1715636534.255552,302500,0.0
1715636562.570546,305000,0.0
1715636590.619858,307500,0.25
1715636619.439615,310000,0.0
1715636649.839196,312500,0.0
1715636678.926392,315000,0.0
1715636706.97321,317500,0.5
1715636736.08755,320000,0.4000000059604645
1715636764.568222,322500,0.25
1715636795.56762,325000,0.0
1715636824.037983,327500,0.25
1715636851.180165,330000,0.6666666865348816
1715636879.3166451,332500,0.4000000059604645
1715636908.572726,335000,0.7142857313156128
1715636940.175817,337500,0.5714285969734192
1715636968.400458,340000,0.7142857313156128
1715636994.821268,342500,0.5714285969734192
1715637022.966361,345000,0.9090909361839294
1715637052.012209,347500,0.8333333134651184
1715637083.601606,350000,0.6666666865348816
1715637111.641663,352500,0.5714285969734192
1715637138.905154,355000,0.8461538553237915
1715637166.548373,357500,0.800000011920929
1715637196.367192,360000,0.800000011920929
1715637226.61599,362500,0.8333333134651184
1715637256.6152818,365000,0.4000000059604645
1715637284.087789,367500,0.8461538553237915
1715637310.4829419,370000,0.6666666865348816
1715637337.159178,372500,0.4000000059604645
1715637367.496456,375000,0.5714285969734192
1715637394.303025,377500,0.5
1715637422.206165,380000,0.20000000298023224
1715637450.131148,382500,0.625
1715637478.412689,385000,0.800000011920929
1715637508.898145,387500,0.6000000238418579
1715637536.638606,390000,0.4285714328289032
1715637563.456206,392500,0.6666666865348816
1715637588.978187,395000,0.800000011920929
1715637615.352554,397500,0.5714285969734192
1715637644.464565,400000,0.625
1715637670.1289978,402500,0.800000011920929
1715637696.725672,405000,0.3333333432674408
1715637724.848096,407500,0.800000011920929
1715637753.783077,410000,0.0
1715637786.640874,412500,0.5714285969734192
1715637815.690612,415000,0.0
1715637843.810123,417500,0.699999988079071
1715637871.961937,420000,0.5
1715637904.195888,422500,0.25
1715637932.885493,425000,0.6666666865348816
1715637961.477168,427500,0.8181818127632141
1715637989.718743,430000,0.7142857313156128
1715638018.283917,432500,0.625
1715638052.6191292,435000,0.7777777910232544
1715638088.810645,437500,0.75
1715638126.0273988,440000,0.8181818127632141
1715638160.4001951,442500,0.9375
1715638194.968439,445000,0.4000000059604645
1715638232.172458,447500,0.7142857313156128
1715638265.535678,450000,0.9090909361839294
1715638300.176213,452500,0.699999988079071
1715638334.133513,455000,0.5
1715638366.311253,457500,0.5714285969734192
1715638397.240696,460000,0.75
1715638424.36375,462500,0.7272727489471436
1715638451.790464,465000,0.9444444179534912
1715638479.591837,467500,0.9230769276618958
1715638507.300687,470000,0.75
1715638537.017161,472500,0.8999999761581421
1715638564.938005,475000,0.6666666865348816
1715638592.642675,477500,0.7142857313156128
1715638619.667248,480000,0.8571428656578064
1715638646.3809412,482500,0.9333333373069763
1715638676.42047,485000,0.6666666865348816
1715638703.0560262,487500,0.800000011920929
1715638730.066817,490000,0.7777777910232544
1715638757.600791,492500,0.9090909361839294
1715638784.652245,495000,0.6666666865348816
1715638814.177412,497500,0.7777777910232544
1715638841.195724,500000,0.9230769276618958
