Wall time,Step,Value
1715577904.566564,2500,17.646808624267578
1715577930.5809522,5000,17.832767486572266
1715577960.064103,7500,0.0
1715577988.612479,10000,14.143998146057129
1715578013.7398798,12500,28.659212112426758
1715578044.0938828,15000,15.534177780151367
1715578069.984766,17500,15.998135566711426
1715578097.510645,20000,35.626380920410156
1715578127.6414652,22500,103.92896270751953
1715578154.937782,25000,31.256519317626953
1715578184.644667,27500,166.11163330078125
1715578211.469305,30000,185.02198791503906
1715578238.13831,32500,301.4217224121094
1715578264.7021492,35000,294.9417419433594
1715578290.764566,37500,292.4151916503906
1715578320.6135418,40000,249.768798828125
1715578347.481482,42500,186.62933349609375
1715578373.974388,45000,277.5976867675781
1715578400.623059,47500,363.3819580078125
1715578427.680456,50000,519.7366333007812
1715578468.842816,52500,366.5298156738281
1715578504.855558,55000,390.9598693847656
1715578545.383342,57500,720.1319580078125
1715578576.022649,60000,896.4420166015625
1715578608.292342,62500,1071.78955078125
1715578638.445688,65000,1369.8355712890625
1715578674.6479738,67500,1175.1761474609375
1715578706.965081,70000,1367.1680908203125
1715578741.429964,72500,1393.7747802734375
1715578775.9538329,75000,1287.852783203125
1715578805.6069179,77500,1540.9951171875
1715578837.034529,80000,1529.03173828125
1715578866.952234,82500,1408.3701171875
1715578895.811064,85000,1547.734619140625
1715578926.58052,87500,1543.6937255859375
1715578959.654658,90000,1630.3590087890625
1715578989.210468,92500,1664.0008544921875
1715579019.358803,95000,1706.904296875
1715579050.6552188,97500,1409.7017822265625
1715579081.285929,100000,1672.1923828125
